,corebeadsFL_FS,,corebeadsFL_A,,,,,FSFL_FS,,FSFL_A,,AFL_FS,,AFL_A,,,FS_A_FL_vector
87.00 ,87.00 ,1173.00 ,1173.00 ,,,,83.00 ,83.00 ,31.00 ,31.00 ,38.00 ,38.00 ,1047.00 ,1047.00 ,,,1051.43 
93.00 ,93.00 ,1865.00 ,1865.00 ,,,,83.00 ,83.00 ,31.00 ,31.00 ,43.00 ,43.00 ,2043.00 ,2043.00 ,,,2045.37 
101.00 ,101.00 ,5008.00 ,5008.00 ,,,,83.00 ,83.00 ,31.00 ,31.00 ,48.00 ,48.00 ,3638.00 ,3638.00 ,,,3639.40 
117.00 ,117.00 ,8124.00 ,8124.00 ,,,,83.00 ,83.00 ,31.00 ,31.00 ,61.00 ,61.00 ,7449.00 ,7449.00 ,,,7449.78 
228.00 ,228.00 ,342.00 ,342.00 ,,,,200.00 ,200.00 ,82.00 ,82.00 ,39.00 ,39.00 ,541.00 ,541.00 ,,,583.89 
237.00 ,237.00 ,1269.00 ,1269.00 ,,,,200.00 ,200.00 ,82.00 ,82.00 ,38.00 ,38.00 ,1047.00 ,1047.00 ,,,1069.76 
234.00 ,234.00 ,2358.00 ,2358.00 ,,,,200.00 ,200.00 ,82.00 ,82.00 ,43.00 ,43.00 ,2043.00 ,2043.00 ,,,2054.85 
230.00 ,230.00 ,4879.00 ,4879.00 ,,,,200.00 ,200.00 ,82.00 ,82.00 ,48.00 ,48.00 ,3638.00 ,3638.00 ,,,3644.73 
253.00 ,253.00 ,9688.00 ,9688.00 ,,,,200.00 ,200.00 ,82.00 ,82.00 ,61.00 ,61.00 ,7449.00 ,7449.00 ,,,7452.39 
282.00 ,282.00 ,18007.00 ,18007.00 ,,,,200.00 ,200.00 ,82.00 ,82.00 ,96.00 ,96.00 ,16071.00 ,16071.00 ,,,16072.74 
322.00 ,322.00 ,30424.00 ,30424.00 ,,,,200.00 ,200.00 ,82.00 ,82.00 ,156.00 ,156.00 ,31125.00 ,31125.00 ,,,31126.14 
432.00 ,432.00 ,62277.00 ,62277.00 ,,,,200.00 ,200.00 ,82.00 ,82.00 ,266.00 ,266.00 ,63914.00 ,63914.00 ,,,63914.92 
400.00 ,400.00 ,548.00 ,548.00 ,,,,429.00 ,429.00 ,192.00 ,192.00 ,39.00 ,39.00 ,541.00 ,541.00 ,,,717.71 
441.00 ,441.00 ,1206.00 ,1206.00 ,,,,429.00 ,429.00 ,192.00 ,192.00 ,38.00 ,38.00 ,1047.00 ,1047.00 ,,,1148.28 
443.00 ,443.00 ,2168.00 ,2168.00 ,,,,429.00 ,429.00 ,192.00 ,192.00 ,43.00 ,43.00 ,2043.00 ,2043.00 ,,,2096.81 
451.00 ,451.00 ,4388.00 ,4388.00 ,,,,429.00 ,429.00 ,192.00 ,192.00 ,48.00 ,48.00 ,3638.00 ,3638.00 ,,,3668.55 
472.00 ,472.00 ,9236.00 ,9236.00 ,,,,429.00 ,429.00 ,192.00 ,192.00 ,61.00 ,61.00 ,7449.00 ,7449.00 ,,,7464.06 
